SOLARSYSTEMID	SOLARSYSTEMNAME	X	Y	Z	LUMINOSITY	SECURITY	RADIUS
30001800	J7X-VN	2.51E+017	-1.28E+016	2.72E+016	1.44	-0.18	2750863985920
30001801	F-WCLC	2.50E+017	-3.68E+016	3.17E+016	0.01	-0.08	1940615689368
30001802	G-HE0N	2.58E+017	-2.19E+016	2.41E+016	0.02	-0.23	2174631738112
30001803	YC-ANK	2.58E+017	-2.85E+016	1.96E+016	0.34	-0.16	2563851910064
30001804	LTT-AP	2.52E+017	-2.50E+016	8.60E+015	0.06	-0.09	2638426854532
30001805	8RL-OG	2.98E+017	2.44E+016	1.02E+017	0.13	-0.54	1433963684480
30001806	R3P0-Z	3.02E+017	8.70E+015	9.15E+016	0.02	-0.75	1288490058768
30001807	ZZK-VF	3.03E+017	-779353828696196	8.44E+016	0.12	-0.62	1664173441168
30001808	SN-Q1T	3.06E+017	5.30E+015	8.95E+016	1.04	-0.74	4605824704256
30001809	L1YK-V	2.99E+017	1.49E+016	8.64E+016	0.29	-0.5	1042385745776
30001810	ZJ-5IS	2.98E+017	-1.23E+015	7.44E+016	0.04	-0.43	1388167393344
30001811	GA58-7	2.88E+017	-3.43E+015	6.13E+016	0.02	-0.7	1333835856116
30001812	J-0KB3	2.83E+017	-3.35E+015	6.09E+016	0.02	-0.82	1956690892400
30001813	UC-8XF	2.84E+017	-5.13E+015	4.74E+016	0.21	-0.74	2591170837664
30001814	90-A1P	2.90E+017	-6.81E+015	5.51E+016	1.55	-0.7	2700438546408
30001815	4AZV-W	2.77E+017	-4.74E+015	5.13E+016	0.05	-0.85	2186264599632
30001816	UNV-3J	2.88E+017	-7.11E+015	6.40E+016	0.02	-0.71	1559251082648
30001817	7F-2FB	2.78E+017	-1.19E+016	5.56E+016	0.13	-0.92	2867131105084
30001818	MC4C-H	2.93E+017	-2.27E+016	6.11E+016	0.37	-0.53	3882248671968
30001819	OW-QXW	2.98E+017	-2.70E+016	6.41E+016	1.07	-0.4	3844406286752
30001820	3-QNM4	2.89E+017	-1.67E+016	5.68E+016	3.92	-0.74	8487616113408
30001821	UEPO-D	3.01E+017	-3.88E+016	6.35E+016	0.01	-0.39	1506685348320
30001822	NQ-M6W	3.02E+017	-4.05E+016	6.97E+016	0.03	-0.57	3975777514568
30001823	P-8PDJ	2.96E+017	-4.15E+016	6.40E+016	0.33	-0.34	6294929841312
30001824	VE-W7O	3.04E+017	-4.60E+016	7.53E+016	0.02	-0.75	3329871298240
30001825	CNHV-M	2.96E+017	-1.62E+016	4.87E+016	0.02	-0.7	2238482931092
30001826	NEU-UD	2.94E+017	-2.55E+016	4.20E+016	3.54	-0.68	5734615393568
30001827	N-I024	2.95E+017	-3.21E+016	4.04E+016	0.02	-0.54	1028514334624
30001828	4O-ZRI	2.95E+017	-1.45E+016	3.58E+016	0.46	-0.75	2836375065632
30001829	Y-7XVJ	2.96E+017	-2.55E+016	4.56E+016	0.2	-0.65	5469536609120
30001830	RQNF-9	3.01E+017	-1.85E+016	3.70E+016	0.12	-0.77	1600707678016
30001831	DSS-EZ	-8.45E+016	6.93E+015	-2.62E+017	0.09	-0.26	1142089664936
30001832	MB4D-4	-8.95E+016	7.98E+015	-2.66E+017	0.01	-0.22	984158698736
30001833	LGK-VP	-9.36E+016	2.06E+016	-2.72E+017	0.05	-0.12	744691352552
30001834	E-C0SR	-9.49E+016	3.02E+016	-2.69E+017	0.03	-0.08	1282553825400
30001835	X1E-OQ	-9.64E+016	2.27E+016	-2.74E+017	0.02	-0.1	2103969373712
30001836	VTGN-U	-1.03E+017	4.49E+016	-2.64E+017	0.02	-0.07	1144178840992
30001837	0Y1-M7	-1.09E+017	4.65E+016	-2.68E+017	0.36	-0.08	1889617681424
30001838	Q-Q2S6	-9.88E+016	2.26E+016	-2.81E+017	0.24	-0.09	2387320899216
30001839	WHG2-7	-1.03E+017	1.47E+016	-2.86E+017	5.97	-0.1	9699939098800
30001840	9RQ-L8	-1.07E+017	2.14E+016	-2.92E+017	0.01	-0.07	2246448712776
30001841	32-GI9	-1.06E+017	2.95E+016	-2.79E+017	0.12	-0.08	2091120337552
30001842	TG-Z23	-1.06E+017	2.92E+016	-2.96E+017	10.3	-0.05	8364741517536
30001843	IP-MVJ	-1.09E+017	2.85E+016	-3.05E+017	0.13	-0.04	3462463266824
30001844	4J-ZC9	-1.01E+017	2.10E+016	-2.98E+017	5.84	-0.06	6322319947968
30001845	7R5-7R	-1.15E+017	5.05E+016	-2.53E+017	0.11	-0.13	1932858171568
30001846	Y1-UQ2	-1.19E+017	4.53E+016	-2.52E+017	0.01	-0.17	1260647196912
30001847	HM-UVD	-1.28E+017	4.81E+016	-2.51E+017	0.04	-0.25	1899467899424
30001848	G-ME2K	-1.27E+017	3.76E+016	-2.44E+017	0.05	-0.26	2134380991904
30001849	WNS-7J	-1.34E+017	5.13E+016	-2.53E+017	0.8	-0.31	1855255898480
30001850	57M7-W	-1.30E+017	5.55E+016	-2.64E+017	0.11	-0.22	1437451860088
30001851	JS-E8E	-1.14E+017	3.59E+016	-2.93E+017	1.46	-0.07	2624240585024
30001852	FV-SE8	-1.19E+017	2.92E+016	-2.95E+017	0.63	-0.08	2749560699744
30001853	FZSW-Y	-1.14E+017	2.25E+016	-2.98E+017	0.04	-0.06	1586370605824
30001854	UF-KKH	-1.18E+017	2.57E+016	-3.04E+017	2.19	-0.05	4383196390600
30001855	O5Y3-W	-1.25E+017	3.03E+016	-2.99E+017	0.01	-0.08	2101600645584
30001856	0GN-VO	-1.29E+017	3.09E+016	-3.02E+017	0.04	-0.09	2783993658592
30001857	9U6-SV	-1.33E+017	3.21E+016	-3.08E+017	0.2	-0.08	1009956150528
30001858	4GQ-XQ	-1.24E+017	2.72E+016	-3.23E+017	0.09	-0.03	2091217709920
30001859	R8-5XF	-1.32E+017	2.19E+016	-3.30E+017	0.01	-0.03	2020406029152
30001860	2IGP-1	-1.19E+017	1.64E+016	-3.25E+017	1.5	-0.03	3298560649136
30001861	Z2-QQP	-1.19E+017	1.63E+016	-3.32E+017	0.01	-0.03	2215687689184
30001862	GDEW-0	-1.33E+017	1.69E+016	-3.34E+017	0.05	-0.02	1300722088408
30001863	PSJ-10	-1.37E+017	6.83E+015	-3.39E+017	0.14	-0.02	1543150143680
30001864	2-V0KY	-1.25E+017	3.13E+016	-3.29E+017	0.04	-0.02	2166120906976
30001865	U-WLT9	-1.19E+017	1.08E+016	-3.40E+017	0.74	-0.04	1976781020640
30001866	ZG8Q-N	-1.27E+017	680303831911651	-3.42E+017	0.88	-0.04	4044660936280
30001867	40GX-P	-1.40E+017	9.33E+015	-3.39E+017	2.54	-0.02	3814229438768
30001868	37S-KO	-1.53E+017	1.72E+016	-3.33E+017	1.74	-0.04	2440895663680
30001869	4J9-DK	-1.59E+017	2.83E+016	-3.29E+017	0.11	-0.06	1103667957536
30001870	A-GPTM	-1.62E+017	3.56E+016	-3.24E+017	0.65	-0.08	3123165514624
30001871	HQ-TDJ	-1.58E+017	1.02E+016	-3.34E+017	0.1	-0.04	2715431109120
30001872	WBLF-0	-1.69E+017	1.15E+016	-3.41E+017	0.31	-0.03	2659732563520
30001873	GDO-7H	-1.30E+017	3.95E+016	-3.24E+017	0.05	-0.03	2087589900248
30001874	NZG-LF	-1.32E+017	4.66E+016	-3.31E+017	0.32	-0.02	7901033443856
30001875	UJM-RD	-1.29E+017	3.90E+016	-3.38E+017	0.05	-0.02	3166195900752
30001876	L0AD-B	-1.33E+017	5.52E+016	-3.32E+017	0.11	-0.02	1222481963504
30001877	8ZO-CK	-1.25E+017	4.41E+016	-3.55E+017	0.05	-0.01	2434632357184
30001878	WEQT-K	-1.28E+017	4.21E+016	-3.59E+017	1.4	-0.01	3752596666528
30001879	8O-OSG	-1.35E+017	3.94E+016	-3.31E+017	0.03	-0.03	1844121161720
30001880	1H-I12	-1.42E+017	5.13E+016	-3.56E+017	0.02	-0.01	1369629979624
30001881	D9D-GD	-1.48E+017	5.80E+016	-3.58E+017	0.02	0	1471014955904
30001882	4A-XJ6	-1.49E+017	5.63E+016	-3.52E+017	0.03	-0.01	934742595904
30001883	GU-54G	-1.41E+017	4.91E+016	-3.61E+017	0.1	-0.01	931834946712
30001884	7-X3RN	-1.51E+017	5.49E+016	-3.45E+017	0.34	-0.01	2805478921792
30001885	BF-FVB	-1.44E+017	5.73E+016	-3.68E+017	0.4	0	2935839046936
30001886	9O-ZTS	-1.50E+017	6.61E+016	-3.54E+017	0.02	-0.01	277978966128
30001887	8KQR-O	-1.34E+017	3.66E+016	-3.58E+017	0.04	-0.02	1644031926464
30001888	F9SX-1	-1.39E+017	4.08E+016	-3.64E+017	0.09	-0.01	1817421904824
30001889	0G-A25	-1.39E+017	3.86E+016	-3.70E+017	1.3	-0.02	2797915672504
30001890	WJO0-G	-1.46E+017	4.73E+016	-3.66E+017	0.04	-0.01	937999965568
30001891	S91-TI	-1.50E+017	4.40E+016	-3.58E+017	0.8	-0.01	2663319117504
30001892	V1V-6F	-1.51E+017	3.85E+016	-3.61E+017	1.77	-0.01	4221693077728
30001893	S-DLKC	-1.68E+017	4.43E+016	-3.17E+017	0.13	-0.12	3135011367360
30001894	42-UOW	-1.74E+017	4.80E+016	-3.17E+017	0.04	-0.13	832961777504
30001895	CBGG-0	-1.77E+017	5.62E+016	-3.17E+017	0.08	-0.12	2459648728736
30001896	A4UG-O	-1.80E+017	4.55E+016	-3.19E+017	0.02	-0.13	2677231241776
30001897	W-VXL9	-1.79E+017	4.67E+016	-3.15E+017	0.02	-0.16	1676742941152
30001898	U2-BJ2	-1.85E+017	3.90E+016	-3.13E+017	0.03	-0.19	983842657408
30001899	UKYS-5	-1.83E+017	5.91E+016	-3.16E+017	0.02	-0.13	1275181726544
30001900	RV5-DW	-1.87E+017	6.81E+016	-3.14E+017	0.02	-0.12	826007607360
30001901	KP-FQ1	-1.81E+017	7.12E+016	-3.14E+017	1.96	-0.11	6008775067968
30001902	RLDS-R	-1.87E+017	6.12E+016	-3.20E+017	0.01	-0.1	616320616896
30001903	QM-O7J	-1.75E+017	7.79E+016	-3.04E+017	0.28	-0.14	4162252180608
30001904	0-7XA8	-1.85E+017	6.22E+016	-3.27E+017	0.19	-0.07	3303573333600
30001905	X5O1-L	-1.60E+017	4.38E+016	-3.59E+017	0.18	-0.01	1884585453792
30001906	F-TVAP	-1.61E+017	4.42E+016	-3.62E+017	0.05	-0.01	1495660892416
30001907	6Y-0TW	-1.65E+017	3.51E+016	-3.64E+017	1.52	-0.01	3336550934528
30001908	TL-T9Z	-1.65E+017	3.09E+016	-3.69E+017	0.06	-0.01	3259306121984
30001909	E7-WSY	-1.67E+017	2.54E+016	-3.70E+017	0.18	-0.01	2314083453072
30001910	B-G1LG	-1.69E+017	2.75E+016	-3.66E+017	0.15	-0.01	2186888013760
30001911	T-8UOF	-1.88E+017	3.55E+016	-3.07E+017	0.08	-0.24	2773257197440
30001912	DP-2WP	-1.89E+017	2.30E+016	-3.03E+017	0.02	-0.28	6058080824880
30001913	MMR-LZ	-1.93E+017	3.13E+016	-3.00E+017	0.26	-0.32	1634312416480
30001914	I-ME3L	-1.88E+017	2.83E+016	-3.12E+017	0.58	-0.2	2999603175616
30001915	YE17-R	-1.88E+017	2.89E+016	-2.98E+017	0.01	-0.35	2244313944208
30001916	T7-JNB	-1.98E+017	4.31E+016	-3.00E+017	0.43	-0.31	2270278027744
30001917	LB0-A1	-2.09E+017	4.84E+016	-2.93E+017	2.74	-0.34	4269784821360
30001918	S-BWWQ	-2.11E+017	5.21E+016	-3.03E+017	0.14	-0.22	3435088491248
30001919	Z-R96X	-1.86E+017	3.88E+016	-3.04E+017	0.05	-0.28	874781749504
30001920	J-AYLV	-2.12E+017	5.29E+016	-2.89E+017	3.21	-0.37	2820454529024
30001921	DABV-N	-2.15E+017	5.11E+016	-2.88E+017	0.18	-0.36	2214835611024
30001922	ZH-KEV	-2.16E+017	5.56E+016	-3.04E+017	1.03	-0.19	4112294022064
30001923	LC-1ED	-1.82E+017	8.34E+016	-3.00E+017	0.21	-0.14	2975321640256
30001924	RPS-0K	-1.85E+017	7.42E+016	-2.97E+017	0.03	-0.21	1876624039744
30001925	VNPF-7	-1.91E+017	8.39E+016	-3.07E+017	0.18	-0.11	1403904418240
30001926	CJF-1P	-1.94E+017	8.31E+016	-3.08E+017	0.01	-0.1	1748849487136
30001927	U6-FCE	-1.84E+017	8.18E+016	-2.87E+017	0.02	-0.23	1423970258384
30001928	L6B-0N	-1.92E+017	8.69E+016	-2.81E+017	0.43	-0.23	3412648001888
30001929	Z-XMUC	-1.94E+017	8.28E+016	-3.02E+017	1.12	-0.13	2901970612736
30001930	6QBH-S	-1.76E+017	7.93E+016	-2.86E+017	0.17	-0.25	5305338299616
30001931	RRWI-5	-1.78E+017	2.51E+016	-3.39E+017	1	-0.04	4943155973696
30001932	Y-4U62	-1.81E+017	3.70E+016	-3.33E+017	0.45	-0.06	2635331366400
30001933	EAWE-2	-1.88E+017	2.59E+016	-3.32E+017	10.38	-0.06	6059068709360
30001934	I-3FET	-1.80E+017	2.75E+016	-3.43E+017	1.94	-0.03	4205277177568
30001935	QCKK-T	-1.85E+017	3.64E+016	-3.34E+017	0.02	-0.06	1221716237152
30001936	RP-H66	-1.88E+017	3.33E+016	-3.31E+017	2.66	-0.07	4525924418912
30001937	JU-UYK	-1.84E+017	5.87E+016	-3.31E+017	0.04	-0.06	917391324384
30001938	O-FTHE	-1.86E+017	6.07E+016	-3.35E+017	0.02	-0.04	803479191456
30001939	W-Q233	-1.86E+017	5.34E+016	-3.43E+017	0.65	-0.03	2405444620672
30001940	4XW2-D	-1.82E+017	4.55E+016	-3.44E+017	0.06	-0.03	2217404408672
30001941	J5NU-K	-1.92E+017	5.96E+016	-3.41E+017	0.12	-0.03	1422132275520
30001942	EOT-XL	-1.77E+017	3.44E+016	-3.48E+017	0.22	-0.02	2506475410288
30001943	RVRE-Z	-1.95E+017	6.33E+016	-3.44E+017	0.06	-0.02	1297898025504
30001944	B-2UL0	-1.93E+017	7.03E+016	-3.47E+017	0.09	-0.02	1401518583424
30001945	L-A9FS	-1.94E+017	6.53E+016	-3.51E+017	0.04	-0.01	969337736352
30001946	OOO-FS	-1.99E+017	7.12E+016	-3.49E+017	0.72	-0.01	2807243471888
30001947	373Z-7	-1.97E+017	7.24E+016	-3.55E+017	0.74	-0.01	3279276882496
30001948	JVJ2-N	-1.98E+017	9.67E+016	-2.77E+017	4.04	-0.17	4456457186992
30001949	2B-3M4	-1.95E+017	9.99E+016	-2.79E+017	0.22	-0.14	3016791359120
30001950	A-XASO	-1.91E+017	9.94E+016	-2.78E+017	0.03	-0.15	4609277974512
30001951	5J-UEX	-2.03E+017	9.92E+016	-2.76E+017	0.04	-0.15	1225905031696
30001952	1H4V-O	-2.06E+017	1.10E+017	-2.69E+017	0.04	-0.1	1626871955712
30001953	LGL-SD	-2.08E+017	9.60E+016	-2.75E+017	0.05	-0.17	2911026521984
30001954	A-DZA8	-2.13E+017	9.22E+016	-2.72E+017	2.66	-0.19	3743041327648
30001955	O-CT8N	-2.16E+017	1.10E+017	-2.78E+017	0.05	-0.07	2883820537360
30001956	Z-6YQC	-2.16E+017	8.65E+016	-2.76E+017	1.87	-0.21	5626754636544
30001957	F7-ICZ	-2.18E+017	8.44E+016	-2.65E+017	0.02	-0.26	591435160880
30001958	XFBE-T	-2.20E+017	7.96E+016	-2.86E+017	0.01	-0.19	1154628412256
30001959	T-NNJZ	-2.22E+017	7.83E+016	-2.64E+017	0.45	-0.3	4169978971760
30001960	DK6W-I	-2.26E+017	8.70E+016	-2.89E+017	0.05	-0.12	1181986123648
30001961	0T-LIB	-2.19E+017	7.17E+016	-2.91E+017	1.06	-0.21	2848241360224
30001962	NRT4-U	-2.22E+017	7.30E+016	-2.68E+017	0.02	-0.33	1565139234112
30001963	KQK1-2	-1.86E+017	1.05E+017	2.33E+017	0.82	-0.16	2185715205024
30001964	O-BY0Y	-1.88E+017	1.07E+017	2.39E+017	0.17	-0.14	1212736624480
30001965	2D-0SO	-2.02E+017	9.70E+016	2.40E+017	0.01	-0.15	1692681749552
30001966	UR-E6D	-2.12E+017	9.76E+016	2.42E+017	0.02	-0.19	1368584132016
30001967	X47L-Q	-2.19E+017	9.54E+016	2.46E+017	0.04	-0.25	2232108839856
30001968	D7T-C0	-2.05E+017	1.06E+017	2.31E+017	0.01	-0.2	956321704224
30001969	KI-TL0	-2.15E+017	1.15E+017	2.38E+017	0.12	-0.18	3470927812128
30001970	EL8-4Q	-2.22E+017	1.24E+017	2.39E+017	0.6	-0.16	4206380270480
30001971	JC-YX8	-2.29E+017	1.33E+017	2.37E+017	0.26	-0.13	2711977635536
30001972	5-9WNU	-2.28E+017	1.25E+017	2.31E+017	0.25	-0.19	2366674843584
30001973	XI-VUF	-2.19E+017	1.14E+017	2.38E+017	0.01	-0.19	3997737394992
30001974	N-H32Y	-2.25E+017	1.25E+017	2.44E+017	0.02	-0.15	6312764465472
30001975	12YA-2	-2.38E+017	1.09E+017	2.33E+017	0.13	-0.18	2705840276208
30001976	BDV3-T	-2.48E+017	1.12E+017	2.28E+017	0.49	-0.16	2355649504256
30001977	J-CIJV	-2.32E+017	9.37E+016	2.44E+017	0.03	-0.24	2434471527376
30001978	X-7OMU	-2.39E+017	8.46E+016	2.32E+017	2.32	-0.14	8172657937872
30001979	CXN1-Z	-2.47E+017	8.47E+016	2.29E+017	0.25	-0.12	2668099859952
30001980	KLY-C0	-2.53E+017	7.98E+016	2.27E+017	1.16	-0.1	3754364706624
30001981	CL6-ZG	-2.53E+017	8.99E+016	2.25E+017	0.06	-0.12	2894803001216
30001982	G95-VZ	-2.40E+017	1.02E+017	2.45E+017	0.4	-0.24	3853829692464
30001983	ROIR-Y	-2.46E+017	1.01E+017	2.46E+017	2.23	-0.24	4486531641280
30001984	EC-P8R	-2.34E+017	9.71E+016	1.97E+017	0.04	-0.45	2999264455696
30001985	EWOK-K	-2.42E+017	9.00E+016	2.00E+017	0.01	-0.31	2262415913360
30001986	O-N8XZ	-2.48E+017	7.81E+016	2.01E+017	0.02	-0.19	672943560928
30001987	G-M4I8	-2.51E+017	9.64E+016	1.97E+017	0.17	-0.3	2158625061712
30001988	MI6O-6	-2.58E+017	7.54E+016	2.00E+017	1.64	-0.13	1984645808864
30001989	L-TS8S	-2.38E+017	8.77E+016	2.15E+017	0.02	-0.21	774633670336
30001990	93PI-4	-2.63E+017	8.78E+016	1.95E+017	1.09	-0.17	2742119690352
30001991	ION-FG	-2.52E+017	1.11E+017	2.31E+017	0.1	-0.13	2323120800736
30001992	C-H9X7	-2.58E+017	1.09E+017	2.33E+017	0.09	-0.11	2231774350704
30001993	A8I-C5	-2.66E+017	9.92E+016	2.40E+017	0.02	-0.12	1198275451856
30001994	DK-FXK	-2.70E+017	1.14E+017	2.37E+017	1.2	-0.08	2855418619280
30001995	M-76XI	-2.78E+017	1.05E+017	2.39E+017	0.07	-0.08	2888822344192
30001996	ZJET-E	-2.68E+017	1.07E+017	2.41E+017	0.02	-0.1	1294957774672
30001997	U-INPD	-2.71E+017	9.80E+016	2.40E+017	0.06	-0.1	2313953464448
30001998	WW-KGD	-2.49E+017	1.08E+017	2.22E+017	0.01	-0.18	831231279920
30001999	XQ-PXU	-2.58E+017	1.04E+017	2.19E+017	0.02	-0.15	962008294304
30002000	M-YCD4	-2.56E+017	1.04E+017	2.14E+017	3.2	-0.18	9721732147600
30002001	Q-5211	-2.65E+017	1.09E+017	2.14E+017	0.02	-0.14	1299273795744
30002002	R-2R0G	-2.55E+017	1.07E+017	2.11E+017	0.05	-0.21	2442644100624
30002003	CR-AQH	-2.51E+017	1.13E+017	2.08E+017	0.01	-0.28	1880075609200
30002004	8S-0E1	-2.12E+017	1.02E+017	2.26E+017	0.03	-0.23	1282154862384
30002005	5ZXX-K	-2.20E+017	1.01E+017	2.26E+017	0.91	-0.23	3983190463760
30002006	JE-D5U	-2.21E+017	8.84E+016	2.20E+017	0.82	-0.22	4674816325888
30002007	2-6TGQ	-2.26E+017	1.06E+017	2.29E+017	0.71	-0.21	3307256151024
30002008	OE-9UF	-2.23E+017	8.03E+016	2.14E+017	3.59	-0.21	5750693284992
30002009	PFU-LH	-2.23E+017	8.37E+016	2.11E+017	0.05	-0.26	2689996419296
30002010	R6XN-9	-2.35E+017	8.94E+016	2.22E+017	0.93	-0.18	3056987454528
30002011	3V8-LJ	-2.36E+017	9.13E+016	2.25E+017	0.02	-0.17	1302230947440
30002012	B8EN-S	-2.33E+017	8.77E+016	2.28E+017	0.12	-0.16	1707203134416
30002013	R-LW2I	-2.42E+017	9.30E+016	2.30E+017	0.05	-0.15	1408532052752
30002014	DP-1YE	-2.35E+017	9.44E+016	2.30E+017	0.01	-0.17	950912673312
30002015	4-ABS8	-2.31E+017	9.81E+016	2.37E+017	0.73	-0.19	4469061245168
30002016	7RM-N0	-2.73E+017	7.90E+016	2.25E+017	0.5	-0.06	3234863466128
30002017	S-MDYI	-2.75E+017	7.33E+016	2.19E+017	0.16	-0.05	1878804538720
30002018	ZKYV-W	-2.68E+017	6.83E+016	2.13E+017	0.01	-0.06	1517977589632
30002019	F-NMX6	-2.87E+017	7.39E+016	2.25E+017	1.72	-0.06	4246816105584
30002020	GA-P6C	-2.69E+017	8.52E+016	2.31E+017	0.14	-0.08	1825524604976
30002021	FWA-4V	-2.78E+017	4.63E+016	2.09E+017	0.11	-0.02	3263852927296
30002022	RZC-16	-2.75E+017	5.45E+016	2.06E+017	0.02	-0.03	4335197225776
30002023	RD-G2R	-2.60E+017	9.35E+016	2.16E+017	0.02	-0.13	1175507901952
30002024	UC3H-Y	-2.69E+017	8.74E+016	2.10E+017	2.79	-0.1	3700314657344
30002025	6GWE-A	-2.75E+017	8.70E+016	2.11E+017	0.29	-0.08	2904055944256
30002026	J-OK0C	-2.80E+017	7.96E+016	2.12E+017	0.02	-0.06	6992832788944
30002027	KDV-DE	-2.69E+017	8.21E+016	2.09E+017	1.16	-0.09	2490748087104
30002028	MT9Q-S	-2.74E+017	8.65E+016	2.07E+017	0.03	-0.09	2987989080816
30002029	B-9C24	-2.94E+017	7.04E+016	2.23E+017	0.01	-0.07	2895935695200
30002030	P-2TTL	-2.99E+017	6.43E+016	2.26E+017	0.01	-0.1	528972927648
30002031	7X-VKB	-2.96E+017	6.63E+016	2.20E+017	0.09	-0.07	2161265872176
30002032	E-Z2ZX	-3.00E+017	5.25E+016	2.28E+017	0.04	-0.12	1249933792960
30002033	RORZ-H	-3.04E+017	5.83E+016	2.26E+017	0.25	-0.13	3372439550720
30002034	O-A6YN	-3.09E+017	6.16E+016	2.23E+017	0.03	-0.12	2069724012192
30002035	MQ-NPY	-2.81E+017	5.53E+016	2.07E+017	4.51	-0.03	7606162081120
30002036	D2-HOS	-2.86E+017	6.00E+016	2.03E+017	0.52	-0.03	2562339795280
30002037	Y2-6EA	-2.88E+017	5.38E+016	2.03E+017	0.1	-0.03	1665013806016
30002038	TFA0-U	-2.95E+017	5.44E+016	2.04E+017	0.5	-0.03	3028615942240
30002039	RQH-MY	-2.81E+017	5.64E+016	1.97E+017	0.32	-0.03	5567020534688
30002040	HPS5-C	-2.85E+017	6.64E+016	1.98E+017	1.25	-0.04	2992504113792
30002041	DT-TCD	-2.88E+017	5.14E+016	1.99E+017	0.01	-0.02	2141622342560
30002042	KU5R-W	-3.09E+017	4.73E+016	2.29E+017	0.68	-0.17	3223019643536
30002043	H1-J33	-3.20E+017	3.37E+016	2.30E+017	0.02	-0.2	3143951655200
30002044	Y-C3EQ	-3.26E+017	3.50E+016	2.21E+017	3.1	-0.14	3850543326624
30002045	OGV-AS	-3.28E+017	2.58E+016	2.24E+017	0.95	-0.14	3548674186032
30002046	7D-0SQ	-3.23E+017	3.85E+016	2.18E+017	0.26	-0.12	3831379965920
30002047	UI-8ZE	-3.30E+017	2.79E+016	2.30E+017	0.23	-0.21	2854417118880
30002048	Bei	-1.28E+017	3.78E+016	6.52E+016	0.01	0.56	2131338998648
30002049	Uttindar	-1.33E+017	3.90E+016	6.01E+016	0.09	0.5	1870757056768
30002050	Hagilur	-1.30E+017	1.81E+016	5.46E+016	0.04	0.36	1862885128808
30002051	Anher	-1.15E+017	1.46E+016	4.95E+016	0.01	0.46	2206486667932
30002052	Ragnarg	-1.32E+017	2.20E+016	5.95E+016	0.02	0.39	1064524272680
30002053	Hek	-1.30E+017	4.33E+016	5.60E+016	0.26	0.55	1703446994496
30002054	Hror	-1.30E+017	3.61E+016	5.21E+016	0.08	0.51	2372842463480
30002055	Amo	-1.31E+017	3.22E+016	4.91E+016	0.12	0.47	4999889911936
30002056	Resbroko	-1.31E+017	3.02E+016	4.39E+016	4.15	0.44	10798072833144
30002057	Hadozeko	-1.29E+017	2.38E+016	4.05E+016	0.04	0.4	3441352700736
30002058	Ardar	-1.31E+017	2.40E+016	3.52E+016	0.02	0.37	1154006931304
30002059	Auner	-1.37E+017	3.16E+016	4.38E+016	0.01	0.41	2106464192360
30002060	Evati	-1.11E+017	-974338241385933	4.61E+016	0.49	0.25	2896190241704
30002061	Ofstold	-1.10E+017	173783294823165	5.20E+016	0.6	0.27	2445810215832
30002062	Todifrauan	-1.02E+017	-1.41E+016	4.04E+016	0.27	0.12	1699588200632
30002063	Helgatild	-9.93E+016	-1.01E+016	3.07E+016	0.18	0.15	1977281305992
30002064	Arnstur	-9.63E+016	-1.41E+016	3.45E+016	0.03	0.12	2061385744274
30002065	Lasleinur	-1.15E+017	-52795992225095	4.82E+016	0.02	0.24	4616333178548
30002066	Arnher	-1.19E+017	-2.29E+015	4.67E+016	0.23	0.19	2734816462584
30002067	Brin	-1.03E+017	-8.92E+015	2.87E+016	0.01	0.15	1930556973528
30002068	Nakugard	-1.32E+017	4.58E+016	5.44E+016	1.13	0.52	1966482481712
30002069	Traun	-1.24E+017	4.75E+016	5.44E+016	0.1	0.63	2215112662920
30002070	Uriok	-1.33E+017	5.52E+016	5.52E+016	0.03	0.5	2212682962880
30002071	Barkrik	-1.27E+017	4.57E+016	4.95E+016	12.02	0.56	8905559972936
30002072	Inder	-1.34E+017	5.29E+016	5.82E+016	0.01	0.51	1994680034156
30002073	Tvink	-1.35E+017	4.13E+016	5.25E+016	0.04	0.48	1099562520368
30002074	Lanngisi	-1.38E+017	4.21E+016	5.56E+016	0.04	0.46	1086426005520
30002075	Hjoramold	-1.30E+017	5.93E+016	5.39E+016	0.07	0.51	3602714161080
30002076	Dudreda	-1.30E+017	1.26E+016	4.81E+016	0.34	0.29	2018196076984
30002077	Hakisalki	-1.35E+017	6.98E+015	4.73E+016	0.34	0.21	2590403953052
30002078	Arwa	-1.39E+017	-2.47E+015	4.32E+016	0.33	0.13	3072939030296
30002079	Krirald	-1.43E+017	2.02E+015	4.34E+016	2.08	0.16	7127516208640
30002080	Arifsdald	-1.39E+017	-7.66E+015	4.01E+016	0.05	0.09	7880766049372
30002081	Ansen	-1.46E+017	-2.42E+015	4.15E+016	0.03	0.14	405860429536
30002082	Floseswin	-1.31E+017	2.95E+016	3.44E+016	0.07	0.4	2594938654376
30002083	Uisper	-1.29E+017	2.85E+016	3.07E+016	1.69	0.39	2046300807064
30002084	Aset	-1.37E+017	2.95E+016	2.92E+016	0.01	0.36	1119226111408
30002085	Eytjangard	-1.41E+017	3.03E+016	2.81E+016	0.27	0.36	3635059487752
30002086	Turnur	-1.30E+017	3.25E+016	2.59E+016	1.91	0.39	5296242867168
30002087	Isbrabata	-1.39E+017	3.38E+016	2.41E+016	0.13	0.36	1941537241824
30002088	Vimeini	-1.41E+017	3.84E+016	2.07E+016	0.43	0.35	2389696763960
